# Objective 2 ET0 cross-check
# our FAO-56 Penman-Monteith vs Open-Meteo published et0_fao_evapotranspiration
"# period 2025-01-01 to 2025-12-31, tolerance 0.2 mm/day"

site,n,mae_mm,rmse_mm,bias_mm,fraction_within_tolerance
Ludhiana PB,2025-07-13,4.4773,4.2700,0.2073
Ludhiana PB,2025-07-14,3.5213,3.2300,0.2913
Ludhiana PB,2025-07-15,4.7312,4.3700,0.3612
Ludhiana PB,2025-07-16,4.5144,4.0400,0.4744
Ludhiana PB,2025-07-17,4.5242,4.0300,0.4942
Ludhiana PB,2025-07-18,3.3180,3.0700,0.2480
Ludhiana PB,2025-07-19,5.2837,5.1100,0.1737
Ludhiana PB,2025-07-20,5.0878,4.8700,0.2178
Ludhiana PB,2025-07-21,2.7631,2.4900,0.2731
Ludhiana PB,2025-07-22,2.0547,1.6400,0.4147
Ludhiana PB,2025-07-23,4.4223,4.2400,0.1823
Ludhiana PB,2025-07-24,4.9814,4.8100,0.1714
Ludhiana PB,2025-07-25,5.0233,4.8900,0.1333
Ludhiana PB,2025-07-26,4.5414,4.2400,0.3014
Ludhiana PB,2025-07-27,4.5457,4.3200,0.2257
Ludhiana PB,2025-07-28,5.1385,4.8700,0.2685
Ludhiana PB,2025-07-29,4.0803,3.8400,0.2403
Ludhiana PB,2025-07-30,4.4604,4.1000,0.3604
Ludhiana PB,2025-07-31,3.0221,2.6500,0.3721
Ludhiana PB,2025-08-01,3.5528,3.2300,0.3228
Ludhiana PB,2025-08-02,4.2178,3.9500,0.2678
Ludhiana PB,2025-08-03,4.8428,4.6900,0.1528
Ludhiana PB,2025-08-04,4.6597,4.4800,0.1797
Ludhiana PB,2025-08-05,4.0884,3.9000,0.1884
Ludhiana PB,2025-08-06,4.5066,4.1900,0.3166
Ludhiana PB,2025-08-07,4.9466,4.8000,0.1466
Ludhiana PB,2025-08-08,5.0219,4.9800,0.0419
Ludhiana PB,2025-08-09,4.2555,3.8900,0.3655
Ludhiana PB,2025-08-10,4.8500,4.6800,0.1700
Ludhiana PB,2025-08-11,3.1504,2.8100,0.3404
Ludhiana PB,2025-08-12,3.6527,3.4700,0.1827
Ludhiana PB,2025-08-13,4.1267,3.9700,0.1567
Ludhiana PB,2025-08-14,1.7092,1.5500,0.1592
Ludhiana PB,2025-08-15,4.2690,4.1600,0.1090
Ludhiana PB,2025-08-16,4.5218,4.3000,0.2218
Ludhiana PB,2025-08-17,4.4370,4.1300,0.3070
Ludhiana PB,2025-08-18,3.1892,2.9700,0.2192
Ludhiana PB,2025-08-19,4.5394,4.3900,0.1494
Ludhiana PB,2025-08-20,4.4612,4.2800,0.1812
Ludhiana PB,2025-08-21,4.7709,4.6400,0.1309
Ludhiana PB,2025-08-22,4.6814,4.6400,0.0414
Ludhiana PB,2025-08-23,3.7171,3.5900,0.1271
Ludhiana PB,2025-08-24,2.4248,2.1100,0.3148
Ludhiana PB,2025-08-25,1.9174,1.6300,0.2874
Ludhiana PB,2025-08-26,2.4424,2.2300,0.2124
Ludhiana PB,2025-08-27,4.0562,3.8600,0.1962
Ludhiana PB,2025-08-28,4.5542,4.3300,0.2242
Ludhiana PB,2025-08-29,3.7633,3.4900,0.2733
Ludhiana PB,2025-08-30,3.1295,2.9100,0.2195
Ludhiana PB,2025-08-31,1.4695,1.3100,0.1595
Ludhiana PB,2025-09-01,1.8658,1.5900,0.2758
Ludhiana PB,2025-09-02,2.6579,2.5200,0.1379
Ludhiana PB,2025-09-03,4.0088,3.7200,0.2888
Ludhiana PB,2025-09-04,2.8308,2.6200,0.2108
Ludhiana PB,2025-09-05,4.4036,4.4000,0.0036
Ludhiana PB,2025-09-06,4.1582,4.0600,0.0982
Ludhiana PB,2025-09-07,4.0294,3.8900,0.1394
Ludhiana PB,2025-09-08,3.4289,3.3000,0.1289
Ludhiana PB,2025-09-09,4.2961,4.3200,-0.0239
Ludhiana PB,2025-09-10,4.3639,4.1800,0.1839
Ludhiana PB,2025-09-11,4.4403,4.3700,0.0703
Ludhiana PB,2025-09-12,4.0436,4.0100,0.0336
Ludhiana PB,2025-09-13,4.1525,4.1600,-0.0075
Ludhiana PB,2025-09-14,4.2574,4.3400,-0.0826
Ludhiana PB,2025-09-15,4.4052,4.4600,-0.0548
Ludhiana PB,2025-09-16,4.5769,4.4600,0.1169
Ludhiana PB,2025-09-17,4.6416,4.6100,0.0316
Ludhiana PB,2025-09-18,4.6816,4.5900,0.0916
Ludhiana PB,2025-09-19,4.6937,4.6200,0.0737
Ludhiana PB,2025-09-20,4.6012,4.7300,-0.1288
Ludhiana PB,2025-09-21,4.5423,4.6800,-0.1377
Ludhiana PB,2025-09-22,4.7152,4.8300,-0.1148
Ludhiana PB,2025-09-23,5.2142,5.3400,-0.1258
Ludhiana PB,2025-09-24,4.8455,4.9900,-0.1445
Ludhiana PB,2025-09-25,4.9624,5.0900,-0.1276
Ludhiana PB,2025-09-26,4.9866,5.1200,-0.1334
Ludhiana PB,2025-09-27,4.3926,4.5800,-0.1874
Ludhiana PB,2025-09-28,4.3357,4.2500,0.0857
Ludhiana PB,2025-09-29,4.2868,4.2800,0.0068
Ludhiana PB,2025-09-30,4.3127,4.5200,-0.2073
Ludhiana PB,2025-10-01,4.2669,4.3700,-0.1031
Ludhiana PB,2025-10-02,4.3372,4.1800,0.1572
Ludhiana PB,2025-10-03,3.8466,3.7800,0.0666
Ludhiana PB,2025-10-04,4.3178,4.4200,-0.1022
Ludhiana PB,2025-10-05,3.5058,3.2600,0.2458
Ludhiana PB,2025-10-06,1.6451,1.3100,0.3351
Ludhiana PB,2025-10-07,1.5195,1.3900,0.1295
Ludhiana PB,2025-10-08,2.9621,3.0800,-0.1179
Ludhiana PB,2025-10-09,3.1780,3.4200,-0.2420
Ludhiana PB,2025-10-10,3.2090,3.3500,-0.1410
Ludhiana PB,2025-10-11,3.7816,3.8600,-0.0784
Ludhiana PB,2025-10-12,3.6746,3.7300,-0.0554
Ludhiana PB,2025-10-13,3.3474,3.6100,-0.2626
Ludhiana PB,2025-10-14,3.1596,3.4900,-0.3304
Ludhiana PB,2025-10-15,2.9958,3.3500,-0.3542
Ludhiana PB,2025-10-16,3.4224,3.6400,-0.2176
Ludhiana PB,2025-10-17,3.6687,3.8400,-0.1713
Ludhiana PB,2025-10-18,3.5615,3.6900,-0.1285
Ludhiana PB,2025-10-19,3.2856,3.5800,-0.2944
Ludhiana PB,2025-10-20,3.2735,3.4500,-0.1765
Ludhiana PB,2025-10-21,2.9768,3.2100,-0.2332
Ludhiana PB,2025-10-22,3.7728,3.9700,-0.1972
Ludhiana PB,2025-10-23,3.2847,3.5100,-0.2253
Ludhiana PB,2025-10-24,2.9897,3.2200,-0.2303
Ludhiana PB,2025-10-25,2.8730,3.1600,-0.2870
Ludhiana PB,2025-10-26,2.8423,3.1400,-0.2977
Ludhiana PB,2025-10-27,2.8194,3.1600,-0.3406
Ludhiana PB,2025-10-28,3.0662,3.1100,-0.0438
Ludhiana PB,2025-10-29,3.0132,3.3700,-0.3568
Ludhiana PB,2025-10-30,2.5506,2.8200,-0.2694
Ludhiana PB,2025-10-31,3.0532,3.3800,-0.3268
Ludhiana PB,2025-11-01,3.3638,3.6600,-0.2962
Ludhiana PB,2025-11-02,3.3917,3.5800,-0.1883
Ludhiana PB,2025-11-03,2.6324,2.9800,-0.3476
Ludhiana PB,2025-11-04,4.3195,3.9700,0.3495
Ludhiana PB,2025-11-05,3.6404,3.7800,-0.1396
Ludhiana PB,2025-11-06,3.4783,3.4200,0.0583
Ludhiana PB,2025-11-07,3.4547,3.4500,0.0047
Ludhiana PB,2025-11-08,3.2792,3.4300,-0.1508
Ludhiana PB,2025-11-09,3.1365,3.2900,-0.1535
Ludhiana PB,2025-11-10,2.7284,2.9800,-0.2516
Ludhiana PB,2025-11-11,2.9564,3.2300,-0.2736
Ludhiana PB,2025-11-12,2.7347,3.0000,-0.2653
Ludhiana PB,2025-11-13,2.7351,2.9700,-0.2349
Ludhiana PB,2025-11-14,2.8187,3.0100,-0.1913
Ludhiana PB,2025-11-15,2.7582,2.9800,-0.2218
Ludhiana PB,2025-11-16,2.4308,2.7600,-0.3292
Ludhiana PB,2025-11-17,2.1584,2.3900,-0.2316
Ludhiana PB,2025-11-18,2.1917,2.6000,-0.4083
Ludhiana PB,2025-11-19,1.6818,2.0700,-0.3882
Ludhiana PB,2025-11-20,1.6489,2.1100,-0.4611
Ludhiana PB,2025-11-21,2.1545,2.2500,-0.0955
Ludhiana PB,2025-11-22,1.9178,2.3200,-0.4022
Ludhiana PB,2025-11-23,1.9233,2.3500,-0.4267
Ludhiana PB,2025-11-24,2.1860,2.5000,-0.3140
Ludhiana PB,2025-11-25,2.2538,2.4500,-0.1962
Ludhiana PB,2025-11-26,1.9059,2.2200,-0.3141
Ludhiana PB,2025-11-27,1.5414,1.9600,-0.4186
Ludhiana PB,2025-11-28,2.2619,2.4100,-0.1481
Ludhiana PB,2025-11-29,2.5404,2.5900,-0.0496
Ludhiana PB,2025-11-30,2.5111,2.5000,0.0111
Ludhiana PB,2025-12-01,1.5073,1.9900,-0.4827
Ludhiana PB,2025-12-02,1.8676,2.2100,-0.3424
Ludhiana PB,2025-12-03,2.1569,2.3400,-0.1831
Ludhiana PB,2025-12-04,2.1534,2.2000,-0.0466
Ludhiana PB,2025-12-05,2.0269,2.2900,-0.2631
Ludhiana PB,2025-12-06,2.3576,2.2700,0.0876
Ludhiana PB,2025-12-07,2.3574,2.3700,-0.0126
Ludhiana PB,2025-12-08,2.6380,2.5900,0.0480
Ludhiana PB,2025-12-09,2.4657,2.4100,0.0557
Ludhiana PB,2025-12-10,2.2011,2.2500,-0.0489
Ludhiana PB,2025-12-11,1.8375,2.0800,-0.2425
Ludhiana PB,2025-12-12,1.5808,1.8200,-0.2392
Ludhiana PB,2025-12-13,1.4707,1.4200,0.0507
Ludhiana PB,2025-12-14,1.6346,1.7700,-0.1354
Ludhiana PB,2025-12-15,2.2366,2.2500,-0.0134
Ludhiana PB,2025-12-16,2.1839,2.1500,0.0339
Ludhiana PB,2025-12-17,2.0614,2.0500,0.0114
Ludhiana PB,2025-12-18,1.0961,1.2600,-0.1639
Ludhiana PB,2025-12-19,1.4651,1.4500,0.0151
Ludhiana PB,2025-12-20,1.1909,1.3000,-0.1091
Ludhiana PB,2025-12-21,1.3045,1.2900,0.0145
Ludhiana PB,2025-12-22,1.4991,1.7000,-0.2009
Ludhiana PB,2025-12-23,1.6323,1.8400,-0.2077
Ludhiana PB,2025-12-24,1.8866,1.9600,-0.0734
Ludhiana PB,2025-12-25,1.4638,1.6900,-0.2262
Ludhiana PB,2025-12-26,1.4502,1.6900,-0.2398
Ludhiana PB,2025-12-27,1.4393,1.6200,-0.1807
Ludhiana PB,2025-12-28,1.3365,1.5600,-0.2235
Ludhiana PB,2025-12-29,1.4104,1.4900,-0.0796
Ludhiana PB,2025-12-30,1.5488,1.7000,-0.1512
Ludhiana PB,2025-12-31,1.1654,1.1000,0.0654
